step	loss
4120	0.046394
4130	0.003692
4140	0.030487
4150	0.009416
4160	0.027034
4170	0.002216
4180	0.007963
4190	0.008858
4200	0.009928
4210	0.075855
4220	0.009178
4230	0.011968
4240	0.015447
4250	0.006880
4260	0.000215
4270	0.010626
4280	0.036666
4290	0.026288
4300	0.023113
4310	0.045759
4320	0.040562
4330	0.027135
4340	0.027944
4350	0.009718
4360	0.005581
4370	0.000000
4380	0.006553
4390	0.048498
4400	0.007841
4410	0.049836
4420	0.011603
4430	0.037755
4440	0.005448
4450	0.037260
4460	0.003685
4470	0.008235
4480	0.058165
4490	0.010124
4500	0.002351
4510	0.023424
4520	0.023492
4530	0.008339
4540	0.025658
4550	0.033602
4560	0.021428
4570	0.070297
4580	0.061201
4590	0.003929
4600	0.003525
4610	0.023768
4620	0.010863
4630	0.078167
4640	0.058315
4650	0.076831
4660	0.016896
4670	0.029704
4680	0.024829
4690	0.009739
4700	0.010890
4710	0.032440
4720	0.069618
4730	0.008580
4740	0.007128
4750	0.029699
4760	0.019473
4770	0.000818
4780	0.002640
4790	0.025381
4800	0.004419
4810	0.010174
4820	0.024282
4830	0.022575
4840	0.005706
4850	0.073077
4860	0.005865
4870	0.007791
4880	0.020714
4890	0.012994
4900	0.000674
4910	0.015581
4920	0.004472
4930	0.009284
4940	0.008073
4950	0.009391
4960	0.006244
4970	0.103307
4980	0.036400
4990	0.008675
5000	0.009023
5010	0.001284
5020	0.004232
5030	0.019101
5040	0.018161
5050	0.012542
5060	0.001254
5070	0.016652
5080	0.039369
5090	0.034831
5100	0.039570
5110	0.042168
5120	0.010671
5130	0.009021
5140	0.017092
5150	0.001192
5160	0.021880
5170	0.019123
5180	0.004213
5190	0.037681
5200	0.011309
5210	0.085110
5220	0.002887
5230	0.033945
5240	0.008657
5250	0.072050
5260	0.018235
5270	0.001949
5280	0.016025
5290	0.071592
5300	0.007313
5310	0.001144
5320	0.002652
5330	0.002839
5340	0.035830
5350	0.010288
5360	0.017136
5370	0.006331
5380	0.025390
5390	0.049013
5400	0.007611
5410	0.032837
5420	0.001058
5430	0.014576
5440	0.004010
5450	0.015838
5460	0.007947
5470	0.008164
5480	0.001868
5490	0.072466
5500	0.014764
5510	0.000433
5520	0.003029
5530	0.014645
5540	0.054287
5550	0.051472
5560	0.015648
5570	0.015971
5580	0.001794
5590	0.012290
5600	0.048457
5610	0.000814
5620	0.004885
5630	0.010561
5640	0.000801
5650	0.020860
5660	0.056902
5670	0.069551
5680	0.038978
5690	0.003082
5700	0.011349
5710	0.014445
5720	0.044242
5730	0.050534
5740	0.012474
5750	0.018486
5760	0.071810
5770	0.014859
5780	0.069313
5790	0.041903
5800	0.040127
5810	0.034247
5820	0.015449
5830	0.010351
5840	0.004851
5850	0.002523
5860	0.021995
5870	0.022616
5880	0.059847
5890	0.005962
5900	0.030315
5910	0.041483
5920	0.012712
5930	0.014492
5940	0.044152
5950	0.003549
5960	0.071342
5970	0.000546
5980	0.004495
5990	0.000388
6000	0.052098
6010	0.032195
6020	0.006888
6030	0.026327
6040	0.017847
6050	0.009007
6060	0.027153
6070	0.001653
6080	0.000000
6090	0.001625
6100	0.025287
6110	0.012077
6120	0.000650
6130	0.020446
6140	0.002393
6150	0.004286
6160	0.020441
6170	0.050407
6180	0.020146
6190	0.014464
6200	0.001224
6210	0.015285
6220	0.023255
6230	0.004877
6240	0.004277
6250	0.001713
6260	0.012449
6270	0.005769
6280	0.004252
6290	0.041823
6300	0.007490
6310	0.004674
6320	0.022750
6330	0.007745
6340	0.070986
6350	0.045815
6360	0.077733
6370	0.019449
6380	0.001549
6390	0.016685
6400	0.000889
6410	0.074130
6420	0.013759
6430	0.007475
6440	0.003967
6450	0.030431
6460	0.000959
6470	0.001983
6480	0.081400
6490	0.049847
6500	0.001516
6510	0.008608
6520	0.009727
6530	0.024284
6540	0.014872
6550	0.081925
6560	0.006901
6570	0.004618
6580	0.038363
6590	0.001282
6600	0.000575
6610	0.001667
6620	0.017955
6630	0.017902
6640	0.006342
6650	0.026858
6660	0.004636
6670	0.003643
6680	0.014386
6690	0.035975
6700	0.015809
6710	0.044983
6720	0.082888
6730	0.001833
6740	0.009036
6750	0.000582
6760	0.000857
6770	0.007538
6780	0.001418
6790	0.000000
6800	0.015982
6810	0.000393
6820	0.005942
6830	0.035349
6840	0.003236
6850	0.016303
6860	0.001426
6870	0.020826
6880	0.027307
6890	0.011551
6900	0.022180
6910	0.036990
6920	0.004916
6930	0.010661
6940	0.012180
6950	0.087940
6960	0.097407
6970	0.015263
6980	0.031296
6990	0.025671
7000	0.002000
7010	0.026023
7020	0.023316
7030	0.018381
7040	0.016142
7050	0.000497
7060	0.000536
7070	0.021525
7080	0.028877
7090	0.012049
7100	0.008091
7110	0.055958
7120	0.005526
7130	0.019680
7140	0.009425
7150	0.042217
7160	0.077542
7170	0.001049
7180	0.009139
7190	0.019638
7200	0.003101
7210	0.017239
7220	0.008118
7230	0.014740
7240	0.018197
7250	0.021235
7260	0.022181
7270	0.004425
7280	0.008166
7290	0.010210
7300	0.011580
7310	0.018192
7320	0.004588
7330	0.003703
7340	0.002873
7350	0.032620
7360	0.070921
7370	0.008396
7380	0.003623
7390	0.079162
7400	0.002130
7410	0.002048
7420	0.015043
7430	0.002118
7440	0.014151
7450	0.011099
7460	0.049908
7470	0.005458
7480	0.005562
7490	0.005977
7500	0.032077
7510	0.000725
7520	0.067478
7530	0.029210
7540	0.007019
7550	0.016966
7560	0.014316
7570	0.039923
7580	0.006882
7590	0.048773
7600	0.008895
7610	0.037232
7620	0.048719
7630	0.029881
7640	0.023817
7650	0.070909
7660	0.001317
7670	0.002459
7680	0.000394
7690	0.003869
7700	0.009485
7710	0.065665
7720	0.033656
7730	0.001375
7740	0.005309
7750	0.002353
7760	0.002753
7770	0.014207
7780	0.043757
7790	0.002832
7800	0.007787
7810	0.053383
7820	0.011564
7830	0.030043
7840	0.020654
7850	0.014809
7860	0.019437
7870	0.037871
7880	0.004550
7890	0.049608
7900	0.029885
7910	0.000706
7920	0.006790
7930	0.005200
7940	0.001462
7950	0.016576
7960	0.001009
7970	0.011128
7980	0.004295
7990	0.007982
8000	0.009778
8010	0.031998
8020	0.052429
8030	0.011906
8040	0.025679
8050	0.016139
8060	0.000168
8070	0.041592
8080	0.031804
8090	0.005161
8100	0.002751
8110	0.046019
8120	0.005524
8130	0.001704
8140	0.012979
8150	0.000000
8160	0.003872
8170	0.008859
8180	0.020864
8190	0.004092
8200	0.004386
8210	0.005173
8220	0.048950
8230	0.002335
8240	0.041687
8250	0.044334
8260	0.008564
8270	0.020068
8280	0.027515
8290	0.032744
8300	0.020330
8310	0.013220
8320	0.023888
8330	0.064757
8340	0.010358
8350	0.062933
8360	0.062266
8370	0.008478
8380	0.027411
8390	0.041112
8400	0.039504
8410	0.002860
8420	0.003087
8430	0.021751
8440	0.016379
8450	0.001568
8460	0.012630
8470	0.006796
8480	0.059342
8490	0.014269
8500	0.000224
8510	0.001076
8520	0.030833
8530	0.003933
8540	0.001980
8550	0.012791
8560	0.000780
8570	0.006431
8580	0.020306
8590	0.012156
8600	0.007516
8610	0.031009
8620	0.012584
8630	0.010347
8640	0.001055
8650	0.016771
8660	0.007362
8670	0.052965
8680	0.024250
8690	0.004370
8700	0.028278
8710	0.002987
8720	0.001629
8730	0.039467
8740	0.016185
8750	0.025311
8760	0.002580
8770	0.003379
8780	0.015352
8790	0.007588
8800	0.029331
