experiment,step,loss,loss_ma25
GT LoRA,1500,0.00251500,0.02293052
GT LoRA,1510,0.01556800,0.01874952
GT LoRA,1520,0.01400100,0.01672336
GT LoRA,1530,0.02796800,0.01745776
GT LoRA,1540,0.00979000,0.01687500
GT LoRA,1550,0.01641400,0.01704536
GT LoRA,1560,0.02893900,0.01761960
GT LoRA,1570,0.02636600,0.01496200
GT LoRA,1580,0.00287000,0.01460636
GT LoRA,1590,0.05291500,0.01663124
GT LoRA,1600,0.05129300,0.01737076
GT LoRA,1610,0.00967100,0.01759700
GT LoRA,1620,0.00668000,0.01511308
GT LoRA,1630,0.01266200,0.01503444
GT LoRA,1640,0.00170000,0.01485792
GT LoRA,1650,0.02560400,0.01537232
GT LoRA,1660,0.02550900,0.01595768
GT LoRA,1670,0.06808400,0.01853572
GT LoRA,1680,0.00649200,0.01748584
GT LoRA,1690,0.00332100,0.01746344
GT LoRA,1700,0.00972000,0.01776568
GT LoRA,1710,0.01593000,0.01785636
GT LoRA,1720,0.00201400,0.01791416
GT LoRA,1730,0.12559700,0.02250964
GT LoRA,1740,0.00514900,0.02267088
GT LoRA,1750,0.00577500,0.02280128
GT LoRA,1760,0.00249100,0.02227820
GT LoRA,1770,0.00310900,0.02184252
GT LoRA,1780,0.00774700,0.02103368
GT LoRA,1790,0.01706300,0.02132460
GT LoRA,1800,0.04982300,0.02266096
GT LoRA,1810,0.02310300,0.02242752
GT LoRA,1820,0.02577000,0.02240368
GT LoRA,1830,0.00202300,0.02236980
GT LoRA,1840,0.00120000,0.02030120
GT LoRA,1850,0.01167300,0.01871640
GT LoRA,1860,0.06846500,0.02106816
GT LoRA,1870,0.01389400,0.02135672
GT LoRA,1880,0.05361700,0.02299492
GT LoRA,1890,0.01912900,0.02369208
GT LoRA,1900,0.00039500,0.02268372
GT LoRA,1910,0.01293800,0.02218088
GT LoRA,1920,0.04409700,0.02122140
GT LoRA,1930,0.00493800,0.02115924
GT LoRA,1940,0.08156100,0.02428884
GT LoRA,1950,0.02439700,0.02487592
GT LoRA,1960,0.02160000,0.02510272
GT LoRA,1970,0.00622400,0.02527112
GT LoRA,1980,0.00736900,0.02054200
GT LoRA,1990,0.00411400,0.02050060
GT LoRA,2000,0.07311700,0.02319428
GT LoRA,2010,0.07202300,0.02597556
GT LoRA,2020,0.01303900,0.02637276
GT LoRA,2030,0.01264600,0.02656872
GT LoRA,2040,0.00528100,0.02609744
GT LoRA,2050,0.00319500,0.02423232
GT LoRA,2060,0.01006400,0.02371076
GT LoRA,2070,0.06338300,0.02521528
GT LoRA,2080,0.02122400,0.02598332
GT LoRA,2090,0.00687300,0.02621024
GT LoRA,2100,0.01064300,0.02616904
GT LoRA,2110,0.03108600,0.02467388
GT LoRA,2120,0.01934400,0.02489188
GT LoRA,2130,0.00000000,0.02274720
GT LoRA,2140,0.03258200,0.02328532
GT LoRA,2150,0.01936700,0.02404420
GT LoRA,2160,0.04667900,0.02539384
GT LoRA,2170,0.01164400,0.02409572
GT LoRA,2180,0.00381700,0.02405088
GT LoRA,2190,0.01621800,0.02143716
GT LoRA,2200,0.00259200,0.02056496
GT LoRA,2210,0.01596000,0.02033936
GT LoRA,2220,0.01055100,0.02051244
GT LoRA,2230,0.03436100,0.02159212
GT LoRA,2240,0.02508100,0.02243080
GT LoRA,2250,0.03348500,0.02084552
GT LoRA,2260,0.03900400,0.01952476
GT LoRA,2270,0.01215000,0.01948920
GT LoRA,2280,0.00517400,0.01919032
GT LoRA,2290,0.00280700,0.01909136
GT LoRA,2300,0.04366800,0.02071028
GT LoRA,2310,0.00333900,0.02044128
GT LoRA,2320,0.00917500,0.01827296
GT LoRA,2330,0.00851800,0.01776472
GT LoRA,2340,0.00752900,0.01779096
GT LoRA,2350,0.05510400,0.01956940
GT LoRA,2360,0.02064000,0.01915156
GT LoRA,2370,0.00642500,0.01863480
GT LoRA,2380,0.02691900,0.01971156
GT LoRA,2390,0.00198200,0.01848756
GT LoRA,2400,0.00079100,0.01774452
GT LoRA,2410,0.00518000,0.01608456
GT LoRA,2420,0.08861400,0.01916336
GT LoRA,2430,0.00492300,0.01920760
GT LoRA,2440,0.00172100,0.01862772
GT LoRA,2450,0.02236800,0.01941876
GT LoRA,2460,0.03972200,0.02036924
GT LoRA,2470,0.00850100,0.02028724
GT LoRA,2480,0.05393400,0.02107016
GT LoRA,2490,0.00204600,0.02014876
GT LoRA,2500,0.00329000,0.01894096
GT LoRA,2510,0.01732000,0.01807360
GT LoRA,2520,0.02928000,0.01875880
GT LoRA,2530,0.01635500,0.01920604
GT LoRA,2540,0.02087100,0.01992860
GT LoRA,2550,0.00317500,0.01830888
GT LoRA,2560,0.01453800,0.01875684
GT LoRA,2570,0.02429900,0.01936180
GT LoRA,2580,0.01590800,0.01965740
GT LoRA,2590,0.06518000,0.02196344
GT LoRA,2600,0.04700400,0.02163944
GT LoRA,2610,0.01181700,0.02128652
GT LoRA,2620,0.03340500,0.02236572
GT LoRA,2630,0.01395600,0.02184720
GT LoRA,2640,0.00305400,0.02189008
GT LoRA,2650,0.00163800,0.02192396
GT LoRA,2660,0.00064000,0.02174236
GT LoRA,2670,0.04186900,0.01987256
GT LoRA,2680,0.01277400,0.02018660
GT LoRA,2690,0.04316000,0.02184416
GT LoRA,2700,0.04274100,0.02265908
GT LoRA,2710,0.00112000,0.02111500
