key,method,description,predictions_jsonl,rows,target_output_ssim,target_output_psnr,bg_ssim,input_output_ssim,input_output_psnr,edit_region_change,mllm_preference_score,mllm_instruction_correctness,mllm_background_preservation,mllm_target_similarity
qwen2511_base,Qwen2511 Base,Raw Qwen-Image-Edit-2511 without LoRA.,data/outputs/magicbrush_dev_qwen2511_base/predictions.jsonl,528,0.45039847250463383,14.291817623261855,0.6956072080546076,0.44974735420140804,14.371846899938605,0.1345437619866888,7.070075757575758,9.229166666666666,9.291666666666666,8.852272727272727
gt_lora,GT-LoRA,Source-only Qwen2511 LoRA trained on MagicBrush ground-truth targets.,data/outputs/magicbrush_dev_qwen2511_gt_onestage/predictions.jsonl,528,0.6957256706770171,18.244335303716046,0.8210783670193224,0.7024860016324304,18.42080346742129,0.043285915577805346,6.884469696969697,8.81060606060606,9.270833333333334,8.488636363636363
mtp_phasea,MTP-PhaseA,Masked Target Programming PhaseA-only source-only Qwen2511 LoRA.,data/outputs/magicbrush_dev_qwen2511_mtp_phasea/predictions.jsonl,528,0.739945044599925,18.45608773232041,0.8275252064451565,0.7613454891763853,19.38020957095829,0.17234552158554312,,,,
moe_teacher_lora,MoE Teacher LoRA,Source-only Qwen2511 LoRA distilled from MoE-Fusion teacher targets.,data/outputs/magicbrush_dev_qwen2511_moe_teacher_onestage/predictions.jsonl,528,0.7631631650764382,19.00585101337553,0.8523525261290608,0.7918964811798298,20.017082905161438,0.1674832715736667,7.015151515151516,9.090909090909092,9.238636363636363,8.744318181818182
moe_fusion_teacher,MoE-Fusion Teacher,Training-time non-deployable MoE teacher reference.,data/teachers/magicbrush_dev_moe_fusion/predictions.jsonl,528,0.881447570116231,22.84020305169781,0.9933820562332072,0.9505997951509375,29.24877600985591,0.11516151880641701,,,,
